member_id,loan_no,loan_status,loan_product,disbursement_date,disbursed_amount,installment_amount,realized_amount,loan_due,overdue,principal_os,schedule_miss_count,partial_payment_count
M10001,62841735,Closed,General 24% Reducing,2025-02-15,60000,5700,67842,0,0,0,4,2
M10002,48192653,Active,General 24% Reducing,2025-06-20,80000,7600,62450,22800,2850,35200,6,2
M10003,51736284,Closed,General 24% Reducing,2024-01-18,50000,4750,56240,0,0,0,3,1
M10004,69318427,Active,General 24% Reducing,2025-03-12,70000,6650,49875,33500,5700,27500,11,5
M10005,57284619,Closed,General 24% Reducing,2023-11-10,100000,9500,113580,0,0,0,7,1
M10006,63825174,Active,General 24% Reducing,2025-01-25,90000,8550,71240,42750,1900,41350,8,4
M10007,71452963,Closed,General 24% Reducing,2024-02-20,120000,11400,135760,0,0,0,3,1
M10008,82531647,Active,General 24% Reducing,2025-04-16,60000,5700,42380,28500,4750,25600,12,6
M10009,49628153,Closed,General 24% Reducing,2023-07-15,85000,8075,96420,0,0,0,6,2
M10010,58173426,Active,General 24% Reducing,2025-05-08,75000,7125,58920,32000,3800,32750,9,3
M10011,63481925,Closed,General 24% Reducing,2022-12-12,175000,16625,201480,0,0,0,4,1
M10012,74261538,Active,General 24% Reducing,2025-02-28,55000,5225,37850,29400,6650,29400,14,7
M10013,51946382,Closed,General 24% Reducing,2024-03-14,110000,10450,124680,0,0,0,8,2
M10014,68325149,Active,General 24% Reducing,2025-01-10,95000,9025,76540,38900,2375,38900,7,3
M10015,75192643,Closed,General 24% Reducing,2023-09-18,130000,12350,147850,0,0,0,2,0
M10016,84631527,Active,General 24% Reducing,2025-03-25,65000,6175,43720,30150,4200,30150,10,5
M10017,52741863,Closed,General 24% Reducing,2024-04-22,105000,9975,118940,0,0,0,5,1
M10018,69157248,Active,General 24% Reducing,2025-06-05,85000,8075,67350,36500,2850,36500,8,4
M10019,76382415,Closed,General 24% Reducing,2023-05-16,145000,13775,163720,0,0,0,4,1
M10020,81463925,Active,General 24% Reducing,2025-04-30,72000,6840,48260,34800,5250,34800,13,6
